anomaly,transaction_dollar_amount,Long,Lat,credit_card_limit,transaction_percentage
0,43.78,-80.17413233,40.26737034,20000,0.002189
0,103.15,-80.19423959,40.18011382,15000,0.006876666666666667
0,48.55,-80.21103251,40.3130044,28000,0.0017339285714285714
0,136.18,-80.17413797,40.29089539,10000,0.013618
0,71.82,-80.23871972,40.1667192,10000,0.007181999999999999
0,121.6,-80.24356492,40.26088704,3000,0.04053333333333333
0,121.6,-80.24356492,40.26088704,18000,0.0067555555555555554
0,122.65,-80.23818639,40.24592834,3000,0.040883333333333334
0,122.65,-80.23818639,40.24592834,18000,0.006813888888888889
0,98.0,-80.2440629,40.24914346,9000,0.010888888888888889
0,95.2,-2.83317873,34.74501452,6000,0.015866666666666668
0,95.2,-2.83317873,34.74501452,24000,0.003966666666666667
0,57.95,-80.28752836,40.26787366,6000,0.009658333333333333
0,57.95,-80.28752836,40.26787366,24000,0.0024145833333333333
0,53.8,-80.24951729,40.2181561,8000,0.006725
0,53.8,-80.24951729,40.2181561,16000,0.0033625
0,53.8,-80.24951729,40.2181561,4000,0.01345
0,101.17,-80.27816249,40.26365736,8000,0.01264625
0,101.17,-80.27816249,40.26365736,16000,0.006323125
0,101.17,-80.27816249,40.26365736,4000,0.0252925
0,69.77,-80.29712539,40.27697602,8000,0.00872125
0,69.77,-80.29712539,40.27697602,16000,0.004360625
0,69.77,-80.29712539,40.27697602,4000,0.0174425
0,52.99,-80.27967862,40.29563536,9000,0.005887777777777778
0,52.99,-80.27967862,40.29563536,35000,0.0015140000000000002
1,146.75,69.47521595,25.12574888,9000,0.016305555555555556
1,146.75,69.47521595,25.12574888,35000,0.004192857142857143
0,111.84,-80.14591729,40.2787208,7000,0.015977142857142856
0,111.84,-80.14591729,40.2787208,20000,0.005592
0,133.34,-80.26505471,40.19839205,7000,0.01904857142857143
0,133.34,-80.26505471,40.19839205,20000,0.006667
0,80.48,-80.26474926,40.23064582,8000,0.010060000000000001
0,80.48,-80.26474926,40.23064582,14000,0.005748571428571429
0,80.48,-80.26474926,40.23064582,20000,0.004024
0,101.32,-80.22404502,40.26513352,8000,0.012665
0,101.32,-80.22404502,40.26513352,14000,0.007237142857142857
0,101.32,-80.22404502,40.26513352,20000,0.005065999999999999
0,43.24,-80.18324351,40.25647883,8000,0.005405
0,43.24,-80.18324351,40.25647883,14000,0.003088571428571429
0,43.24,-80.18324351,40.25647883,20000,0.0021620000000000003
0,148.62,-80.27935218,40.27982445,14000,0.010615714285714286
0,86.29,-80.20893942,40.23371264,7000,0.012327142857142858
0,86.29,-80.20893942,40.23371264,35000,0.0024654285714285715
0,190.27,-80.19320265,40.30342045,7000,0.02718142857142857
0,190.27,-80.19320265,40.30342045,35000,0.005436285714285715
0,97.19,-80.2023186,40.30365204,7000,0.013884285714285714
0,89.01,-80.22109209,40.19799046,20000,0.0044505000000000005
0,89.01,-80.22109209,40.19799046,8000,0.01112625
0,89.01,-80.22109209,40.19799046,20000,0.0044505000000000005
0,60.61,-80.21028144,40.1978308,20000,0.0030304999999999998
0,60.61,-80.21028144,40.1978308,8000,0.00757625
0,60.61,-80.21028144,40.1978308,20000,0.0030304999999999998
0,0.88,-80.13292612,40.20418331,20000,4.4e-05
0,0.88,-80.13292612,40.20418331,8000,0.00011
